step,ee_x,ee_y,ee_z,min_dist,closest_body,cbf_triggered,violation
126,0.5868,0.0879,0.4543,0.1505,hand,1,0
127,0.587,0.0892,0.4528,0.1505,hand,1,0
128,0.5873,0.0905,0.4513,0.1505,hand,1,0
129,0.5875,0.0917,0.4499,0.1505,hand,1,0
130,0.5877,0.0928,0.4485,0.1504,hand,1,0
131,0.5879,0.0939,0.4471,0.1504,hand,1,0
132,0.5882,0.0949,0.4457,0.1504,hand,1,0
133,0.5884,0.0959,0.4444,0.1503,hand,1,0
134,0.5886,0.0968,0.4431,0.1503,hand,1,0
135,0.5888,0.0976,0.4418,0.1503,hand,1,0
136,0.589,0.0984,0.4406,0.1503,hand,1,0
137,0.5892,0.0992,0.4394,0.1503,hand,1,0
138,0.5894,0.0999,0.4382,0.1502,hand,1,0
139,0.5896,0.1005,0.437,0.1502,hand,1,0
140,0.5898,0.1012,0.4359,0.1502,hand,1,0
141,0.59,0.1018,0.4349,0.1502,hand,1,0
142,0.5902,0.1023,0.4339,0.1502,hand,1,0
143,0.5904,0.1028,0.4329,0.1501,hand,1,0
144,0.5906,0.1033,0.4319,0.1501,hand,1,0
145,0.5908,0.1038,0.431,0.1501,hand,1,0
146,0.591,0.1042,0.4301,0.1501,hand,1,0
147,0.5911,0.1047,0.4292,0.1501,hand,1,0
148,0.5913,0.1051,0.4284,0.1501,hand,1,0
149,0.5915,0.1054,0.4276,0.15,hand,1,0
150,0.5916,0.1058,0.4268,0.15,hand,1,0
151,0.5918,0.1061,0.426,0.15,hand,1,0
152,0.5919,0.1065,0.4253,0.15,hand,1,1
153,0.5921,0.1068,0.4246,0.15,hand,1,1
154,0.5922,0.1071,0.424,0.15,hand,1,1
155,0.5924,0.1074,0.4233,0.15,hand,1,1
156,0.5925,0.1077,0.4227,0.15,hand,1,1
157,0.5926,0.1079,0.4221,0.1499,hand,1,1
158,0.5928,0.1082,0.4215,0.1499,hand,1,1
159,0.5929,0.1085,0.4209,0.1499,hand,1,1
160,0.593,0.1087,0.4204,0.1499,hand,1,1
161,0.5932,0.109,0.4199,0.1499,hand,1,1
162,0.5933,0.1092,0.4194,0.1499,hand,1,1
163,0.5934,0.1094,0.4189,0.1499,hand,1,1
164,0.5935,0.1097,0.4184,0.1499,hand,1,1
165,0.5936,0.1099,0.4179,0.1499,hand,1,1
166,0.5937,0.1101,0.4175,0.1499,hand,1,1
167,0.5939,0.1103,0.4171,0.1499,hand,1,1
168,0.594,0.1105,0.4166,0.1499,hand,1,1
169,0.5941,0.1107,0.4162,0.1499,hand,1,1
170,0.5942,0.111,0.4158,0.1498,hand,1,1
171,0.5943,0.1112,0.4155,0.1498,hand,1,1
172,0.5944,0.1114,0.4151,0.1498,hand,1,1
173,0.5945,0.1116,0.4147,0.1498,hand,1,1
174,0.5946,0.1118,0.4144,0.1498,hand,1,1
175,0.5947,0.112,0.4141,0.1498,hand,1,1
176,0.5948,0.1122,0.4137,0.1498,hand,1,1
177,0.5948,0.1124,0.4134,0.1498,hand,1,1
178,0.5949,0.1126,0.4131,0.1498,hand,1,1
179,0.595,0.1128,0.4128,0.1498,hand,1,1
180,0.5951,0.113,0.4125,0.1498,hand,1,1
181,0.5952,0.1132,0.4122,0.1498,hand,1,1
182,0.5953,0.1134,0.4119,0.1498,hand,1,1
183,0.5954,0.1136,0.4117,0.1498,hand,1,1
184,0.5954,0.1137,0.4114,0.1498,hand,1,1
185,0.5955,0.1139,0.4111,0.1498,hand,1,1
186,0.5956,0.1141,0.4109,0.1498,hand,1,1
187,0.5957,0.1143,0.4106,0.1498,hand,1,1
188,0.5958,0.1145,0.4104,0.1498,hand,1,1
189,0.5958,0.1147,0.4102,0.1498,hand,1,1
190,0.5959,0.1149,0.4099,0.1498,hand,1,1
191,0.596,0.1151,0.4097,0.1498,hand,1,1
192,0.596,0.1153,0.4095,0.1498,hand,1,1
193,0.5961,0.1155,0.4093,0.1498,hand,1,1
194,0.5962,0.1157,0.4091,0.1498,hand,1,1
195,0.5963,0.1159,0.4089,0.1498,hand,1,1
196,0.5963,0.1161,0.4087,0.1498,hand,1,1
197,0.5964,0.1163,0.4085,0.1498,hand,1,1
198,0.5965,0.1164,0.4083,0.1498,hand,1,1
199,0.5965,0.1166,0.4081,0.1498,hand,1,1
200,0.5966,0.1168,0.4079,0.1498,hand,1,1
201,0.5967,0.117,0.4078,0.1498,hand,1,1
202,0.5967,0.1172,0.4076,0.1498,hand,1,1
203,0.5968,0.1175,0.4075,0.1499,hand,0,1
204,0.5968,0.1179,0.4074,0.1501,hand,0,0
205,0.5968,0.1184,0.4074,0.1504,hand,0,0
206,0.5968,0.119,0.4074,0.1507,hand,0,0
207,0.5968,0.1195,0.4074,0.1511,hand,0,0
208,0.5968,0.1201,0.4074,0.1515,hand,0,0
209,0.5968,0.1207,0.4074,0.1519,hand,0,0
210,0.5967,0.1212,0.4075,0.1522,hand,0,0
211,0.5967,0.1218,0.4075,0.1526,hand,0,0
212,0.5967,0.1224,0.4075,0.153,hand,0,0
213,0.5967,0.1229,0.4076,0.1534,hand,0,0
214,0.5967,0.1235,0.4076,0.1538,hand,0,0
215,0.5967,0.124,0.4076,0.1542,hand,0,0
216,0.5967,0.1246,0.4076,0.1545,hand,0,0
217,0.5967,0.1251,0.4077,0.1549,hand,0,0
218,0.5967,0.1257,0.4077,0.1553,hand,0,0
219,0.5966,0.1262,0.4077,0.1557,hand,0,0
220,0.5966,0.1267,0.4078,0.156,hand,0,0
221,0.5966,0.1273,0.4078,0.1564,hand,0,0
222,0.5966,0.1278,0.4078,0.1568,hand,0,0
223,0.5966,0.1283,0.4079,0.1572,hand,0,0
224,0.5966,0.1288,0.4079,0.1575,hand,0,0
225,0.5966,0.1293,0.4079,0.1579,hand,0,0
226,0.5966,0.1298,0.4079,0.1583,hand,0,0
227,0.5966,0.1303,0.408,0.1586,hand,0,0
228,0.5965,0.1308,0.408,0.159,hand,0,0
229,0.5965,0.1313,0.408,0.1594,hand,0,0
230,0.5965,0.1318,0.4081,0.1597,hand,0,0
231,0.5965,0.1323,0.4081,0.1601,hand,0,0
232,0.5965,0.1328,0.4081,0.1604,hand,0,0
233,0.5965,0.1332,0.4082,0.1608,hand,0,0
234,0.5965,0.1337,0.4082,0.1611,hand,0,0
235,0.5965,0.1342,0.4082,0.1615,hand,0,0
236,0.5965,0.1347,0.4083,0.1618,hand,0,0
237,0.5965,0.1351,0.4083,0.1622,hand,0,0
238,0.5965,0.1356,0.4083,0.1625,hand,0,0
239,0.5964,0.136,0.4083,0.1629,hand,0,0
240,0.5964,0.1365,0.4084,0.1632,hand,0,0
241,0.5964,0.1369,0.4084,0.1636,hand,0,0
242,0.5964,0.1374,0.4084,0.1639,hand,0,0
243,0.5964,0.1378,0.4085,0.1642,hand,0,0
244,0.5964,0.1382,0.4085,0.1646,hand,0,0
245,0.5964,0.1387,0.4085,0.1649,hand,0,0
246,0.5964,0.1391,0.4086,0.1653,hand,0,0
247,0.5964,0.1395,0.4086,0.1656,hand,0,0
248,0.5964,0.14,0.4086,0.1659,hand,0,0
249,0.5964,0.1404,0.4086,0.1662,hand,0,0
250,0.5964,0.1408,0.4087,0.1666,hand,0,0
251,0.5964,0.1412,0.4087,0.1669,hand,0,0
252,0.5963,0.1416,0.4087,0.1672,hand,0,0
253,0.5963,0.142,0.4088,0.1675,hand,0,0
254,0.5963,0.1424,0.4088,0.1679,hand,0,0
255,0.5963,0.1428,0.4088,0.1682,hand,0,0
256,0.5963,0.1432,0.4089,0.1685,hand,0,0
257,0.5963,0.1436,0.4089,0.1688,hand,0,0
258,0.5963,0.144,0.4089,0.1691,hand,0,0
259,0.5963,0.1444,0.409,0.1694,hand,0,0
260,0.5963,0.1448,0.409,0.1697,hand,0,0
261,0.5963,0.1451,0.409,0.1701,hand,0,0
262,0.5963,0.1455,0.4091,0.1704,hand,0,0
263,0.5963,0.1459,0.4091,0.1707,hand,0,0
264,0.5963,0.1463,0.4091,0.171,hand,0,0
265,0.5963,0.1466,0.4091,0.1713,hand,0,0
266,0.5963,0.147,0.4092,0.1716,hand,0,0
267,0.5963,0.1474,0.4092,0.1719,hand,0,0
268,0.5962,0.1477,0.4092,0.1722,hand,0,0
269,0.5962,0.1481,0.4093,0.1725,hand,0,0
270,0.5962,0.1484,0.4093,0.1728,hand,0,0
271,0.5962,0.1488,0.4093,0.173,hand,0,0
272,0.5962,0.1491,0.4094,0.1733,hand,0,0
273,0.5962,0.1495,0.4094,0.1736,hand,0,0
274,0.5962,0.1498,0.4094,0.1739,hand,0,0
275,0.5962,0.1502,0.4095,0.1742,hand,0,0
276,0.5962,0.1505,0.4095,0.1745,hand,0,0
277,0.5962,0.1508,0.4095,0.1748,hand,0,0
278,0.5962,0.1512,0.4095,0.175,hand,0,0
279,0.5962,0.1515,0.4096,0.1753,hand,0,0
280,0.5962,0.1518,0.4096,0.1756,hand,0,0
281,0.5962,0.1521,0.4096,0.1759,hand,0,0
282,0.5962,0.1525,0.4097,0.1761,hand,0,0
283,0.5962,0.1528,0.4097,0.1764,hand,0,0
284,0.5962,0.1531,0.4097,0.1767,hand,0,0
285,0.5962,0.1534,0.4098,0.1769,hand,0,0
286,0.5962,0.1537,0.4098,0.1772,hand,0,0
287,0.5962,0.154,0.4098,0.1775,hand,0,0
288,0.5962,0.1543,0.4099,0.1777,hand,0,0
289,0.5962,0.1546,0.4099,0.178,hand,0,0
290,0.5962,0.1549,0.41,0.1782,hand,0,0
291,0.5962,0.1551,0.4101,0.1784,hand,0,0
292,0.5962,0.1553,0.4103,0.1787,hand,0,0
293,0.5962,0.1555,0.4104,0.1789,hand,0,0
294,0.5962,0.1557,0.4105,0.1791,hand,0,0
