step,ee_x,ee_y,ee_z,min_dist,closest_body,cbf_triggered,violation
193,0.5969,0.1108,0.4067,0.14,hand,0,1
194,0.5969,0.1115,0.4067,0.1405,hand,0,1
195,0.5969,0.1121,0.4068,0.141,hand,0,1
196,0.5969,0.1128,0.4068,0.1415,hand,0,1
197,0.5969,0.1134,0.4068,0.142,hand,0,1
198,0.5969,0.1141,0.4069,0.1425,hand,0,1
199,0.5968,0.1147,0.4069,0.1431,hand,0,1
200,0.5968,0.1153,0.4069,0.1436,hand,0,1
201,0.5968,0.1159,0.407,0.1441,hand,0,1
202,0.5968,0.1165,0.407,0.1446,hand,0,1
203,0.5968,0.1171,0.407,0.145,hand,0,1
204,0.5968,0.1177,0.4071,0.1455,hand,0,1
205,0.5968,0.1183,0.4071,0.146,hand,0,1
206,0.5967,0.1189,0.4071,0.1465,hand,0,1
207,0.5967,0.1195,0.4072,0.147,hand,0,1
208,0.5967,0.1201,0.4072,0.1475,hand,0,1
209,0.5967,0.1207,0.4072,0.1479,hand,0,1
210,0.5967,0.1213,0.4073,0.1484,hand,0,1
211,0.5967,0.1218,0.4073,0.1489,hand,0,1
212,0.5967,0.1224,0.4073,0.1494,hand,0,1
213,0.5967,0.1229,0.4074,0.1498,hand,0,1
214,0.5967,0.1235,0.4074,0.1503,hand,0,0
215,0.5966,0.1241,0.4074,0.1507,hand,0,0
216,0.5966,0.1246,0.4074,0.1512,hand,0,0
217,0.5966,0.1251,0.4075,0.1516,hand,0,0
218,0.5966,0.1257,0.4075,0.1521,hand,0,0
219,0.5966,0.1262,0.4075,0.1525,hand,0,0
220,0.5966,0.1267,0.4076,0.153,hand,0,0
221,0.5966,0.1273,0.4076,0.1534,hand,0,0
222,0.5966,0.1278,0.4076,0.1539,hand,0,0
223,0.5966,0.1283,0.4077,0.1543,hand,0,0
224,0.5965,0.1288,0.4077,0.1547,hand,0,0
225,0.5965,0.1293,0.4077,0.1552,hand,0,0
226,0.5965,0.1298,0.4078,0.1556,hand,0,0
227,0.5965,0.1303,0.4078,0.156,hand,0,0
228,0.5965,0.1308,0.4078,0.1564,hand,0,0
229,0.5965,0.1313,0.4079,0.1569,hand,0,0
230,0.5965,0.1318,0.4079,0.1573,hand,0,0
231,0.5965,0.1323,0.4079,0.1577,hand,0,0
232,0.5965,0.1328,0.408,0.1581,hand,0,0
233,0.5965,0.1332,0.408,0.1585,hand,0,0
234,0.5964,0.1337,0.408,0.1589,hand,0,0
235,0.5964,0.1342,0.4081,0.1593,hand,0,0
236,0.5964,0.1347,0.4081,0.1597,hand,0,0
237,0.5964,0.1351,0.4081,0.1601,hand,0,0
238,0.5964,0.1356,0.4081,0.1605,hand,0,0
239,0.5964,0.136,0.4082,0.1609,hand,0,0
240,0.5964,0.1365,0.4082,0.1613,hand,0,0
241,0.5964,0.1369,0.4082,0.1617,hand,0,0
242,0.5964,0.1374,0.4083,0.162,hand,0,0
243,0.5964,0.1378,0.4083,0.1624,hand,0,0
244,0.5964,0.1382,0.4083,0.1628,hand,0,0
245,0.5964,0.1387,0.4084,0.1632,hand,0,0
246,0.5963,0.1391,0.4084,0.1636,hand,0,0
247,0.5963,0.1395,0.4084,0.1639,hand,0,0
248,0.5963,0.14,0.4085,0.1643,hand,0,0
249,0.5963,0.1404,0.4085,0.1647,hand,0,0
250,0.5963,0.1408,0.4085,0.165,hand,0,0
251,0.5963,0.1412,0.4086,0.1654,hand,0,0
252,0.5963,0.1416,0.4086,0.1657,hand,0,0
253,0.5963,0.142,0.4086,0.1661,hand,0,0
254,0.5963,0.1424,0.4087,0.1664,hand,0,0
255,0.5963,0.1428,0.4087,0.1668,hand,0,0
256,0.5963,0.1432,0.4087,0.1671,hand,0,0
257,0.5963,0.1436,0.4087,0.1675,hand,0,0
258,0.5963,0.144,0.4088,0.1678,hand,0,0
259,0.5963,0.1444,0.4088,0.1682,hand,0,0
260,0.5962,0.1448,0.4088,0.1685,hand,0,0
261,0.5962,0.1451,0.4089,0.1688,hand,0,0
262,0.5962,0.1455,0.4089,0.1692,hand,0,0
263,0.5962,0.1459,0.4089,0.1695,hand,0,0
264,0.5962,0.1463,0.409,0.1698,hand,0,0
265,0.5962,0.1466,0.409,0.1702,hand,0,0
266,0.5962,0.147,0.409,0.1705,hand,0,0
267,0.5962,0.1474,0.4091,0.1708,hand,0,0
268,0.5962,0.1477,0.4091,0.1711,hand,0,0
269,0.5962,0.1481,0.4091,0.1714,hand,0,0
270,0.5962,0.1484,0.4092,0.1718,hand,0,0
271,0.5962,0.1488,0.4092,0.1721,hand,0,0
272,0.5962,0.1491,0.4092,0.1724,hand,0,0
273,0.5962,0.1495,0.4093,0.1727,hand,0,0
274,0.5962,0.1498,0.4093,0.173,hand,0,0
275,0.5962,0.1502,0.4093,0.1733,hand,0,0
276,0.5962,0.1505,0.4093,0.1736,hand,0,0
277,0.5962,0.1508,0.4094,0.1739,hand,0,0
278,0.5961,0.1512,0.4094,0.1742,hand,0,0
279,0.5961,0.1515,0.4094,0.1745,hand,0,0
280,0.5961,0.1518,0.4095,0.1748,hand,0,0
281,0.5961,0.1521,0.4095,0.1751,hand,0,0
282,0.5961,0.1525,0.4095,0.1754,hand,0,0
283,0.5961,0.1528,0.4096,0.1757,hand,0,0
284,0.5961,0.1531,0.4096,0.176,hand,0,0
285,0.5961,0.1534,0.4096,0.1762,hand,0,0
286,0.5961,0.1537,0.4097,0.1765,hand,0,0
287,0.5961,0.154,0.4097,0.1768,hand,0,0
288,0.5961,0.1543,0.4097,0.1771,hand,0,0
289,0.5961,0.1546,0.4098,0.1774,hand,0,0
290,0.5961,0.1549,0.4098,0.1776,hand,0,0
291,0.5961,0.1552,0.4098,0.1779,hand,0,0
292,0.5961,0.1555,0.4099,0.1782,hand,0,0
293,0.5961,0.1558,0.4099,0.1784,hand,0,0
294,0.5961,0.1561,0.4099,0.1787,hand,0,0
295,0.5961,0.1564,0.41,0.179,hand,0,0
296,0.5961,0.1567,0.41,0.1792,hand,0,0
297,0.5961,0.157,0.41,0.1795,hand,0,0
298,0.5961,0.1573,0.41,0.1797,hand,0,0
299,0.5961,0.1575,0.4101,0.18,hand,0,0
